"FAQ","FAQ"
"Question","Question"
"Category Name","Category Name"
"Date","Date"
"Sort","Sort"
"Status","Status"
"FAQ Manager","FAQ Manager"
"Record does not exist","Record does not exist"
"Faq Information","Faq Information"
"Add Item","Add Item"
"FAQ - Categories Manager","FAQ - Categories Manager"
"Add Category","Add Category"
"Default","Default"
"Record was successfully saved","Record was successfully saved"
"Unable to find record to save","Unable to find record to save"
"Url key must be unique. Please, choose another one.","Url key must be unique. Please, choose another one."
"Record was successfully deleted","Record was successfully deleted"
"Show All","Show All"
"Home","Home"